modo,ejecucion,inicio_ms,fin_ms,total_ms,decision_ms,rama,rama_ms,otra_cancelada,detalle,traza,umbral,dificultad,maximo_primo
especulativo,26,1761447767548,1761447770182,2633,159,A,2606,true,00000ce6e4526404b256bcfe936e5fd554f02ae09de78b1fddc1e98ab78cc494 (intento=901390),1824624,0,5,500000
especulativo,3,1761447767547,1761447770280,2733,210,A,2732,true,00000ce6e4526404b256bcfe936e5fd554f02ae09de78b1fddc1e98ab78cc494 (intento=901390),1826082,0,5,500000
especulativo,2,1761447767547,1761447770518,2970,57,A,2969,true,00000ce6e4526404b256bcfe936e5fd554f02ae09de78b1fddc1e98ab78cc494 (intento=901390),1832283,0,5,500000
especulativo,8,1761447767548,1761447770550,3002,21,A,2844,true,00000ce6e4526404b256bcfe936e5fd554f02ae09de78b1fddc1e98ab78cc494 (intento=901390),1831583,0,5,500000
especulativo,25,1761447767548,1761447770564,3016,64,A,2998,true,00000ce6e4526404b256bcfe936e5fd554f02ae09de78b1fddc1e98ab78cc494 (intento=901390),1820223,0,5,500000
especulativo,9,1761447767548,1761447770566,3018,50,A,2957,true,00000ce6e4526404b256bcfe936e5fd554f02ae09de78b1fddc1e98ab78cc494 (intento=901390),1810588,0,5,500000
especulativo,17,1761447767547,1761447770571,3023,133,A,3022,true,00000ce6e4526404b256bcfe936e5fd554f02ae09de78b1fddc1e98ab78cc494 (intento=901390),1818177,0,5,500000
especulativo,11,1761447767547,1761447770608,3060,51,A,3060,true,00000ce6e4526404b256bcfe936e5fd554f02ae09de78b1fddc1e98ab78cc494 (intento=901390),1827757,0,5,500000
especulativo,16,1761447767548,1761447770618,3070,268,A,3052,true,00000ce6e4526404b256bcfe936e5fd554f02ae09de78b1fddc1e98ab78cc494 (intento=901390),1823906,0,5,500000
especulativo,13,1761447767548,1761447770623,3075,20,A,3057,true,00000ce6e4526404b256bcfe936e5fd554f02ae09de78b1fddc1e98ab78cc494 (intento=901390),1825503,0,5,500000
especulativo,12,1761447767548,1761447770624,3075,5,A,3057,true,00000ce6e4526404b256bcfe936e5fd554f02ae09de78b1fddc1e98ab78cc494 (intento=901390),1820762,0,5,500000
especulativo,29,1761447767548,1761447770635,3086,18,A,2913,true,00000ce6e4526404b256bcfe936e5fd554f02ae09de78b1fddc1e98ab78cc494 (intento=901390),1829078,0,5,500000
especulativo,28,1761447767548,1761447770650,3102,5,A,2902,true,00000ce6e4526404b256bcfe936e5fd554f02ae09de78b1fddc1e98ab78cc494 (intento=901390),1813996,0,5,500000
especulativo,4,1761447767547,1761447770673,3126,212,A,3125,true,00000ce6e4526404b256bcfe936e5fd554f02ae09de78b1fddc1e98ab78cc494 (intento=901390),1821246,0,5,500000
especulativo,15,1761447767548,1761447770676,3127,30,A,2953,true,00000ce6e4526404b256bcfe936e5fd554f02ae09de78b1fddc1e98ab78cc494 (intento=901390),1817599,0,5,500000
especulativo,23,1761447767548,1761447770676,3127,46,A,3108,true,00000ce6e4526404b256bcfe936e5fd554f02ae09de78b1fddc1e98ab78cc494 (intento=901390),1825139,0,5,500000
especulativo,19,1761447767548,1761447770678,3130,179,A,3111,true,00000ce6e4526404b256bcfe936e5fd554f02ae09de78b1fddc1e98ab78cc494 (intento=901390),1824322,0,5,500000
especulativo,10,1761447767547,1761447770679,3132,235,A,3131,true,00000ce6e4526404b256bcfe936e5fd554f02ae09de78b1fddc1e98ab78cc494 (intento=901390),1825021,0,5,500000
especulativo,7,1761447767548,1761447770696,3148,169,A,3129,true,00000ce6e4526404b256bcfe936e5fd554f02ae09de78b1fddc1e98ab78cc494 (intento=901390),1822173,0,5,500000
especulativo,5,1761447767548,1761447770708,3159,6,A,3010,true,00000ce6e4526404b256bcfe936e5fd554f02ae09de78b1fddc1e98ab78cc494 (intento=901390),1822714,0,5,500000
especulativo,21,1761447767547,1761447770718,3170,42,A,3164,true,00000ce6e4526404b256bcfe936e5fd554f02ae09de78b1fddc1e98ab78cc494 (intento=901390),1818740,0,5,500000
especulativo,6,1761447767548,1761447770727,3178,8,A,3029,true,00000ce6e4526404b256bcfe936e5fd554f02ae09de78b1fddc1e98ab78cc494 (intento=901390),1823326,0,5,500000
especulativo,14,1761447767548,1761447770728,3179,28,A,3161,true,00000ce6e4526404b256bcfe936e5fd554f02ae09de78b1fddc1e98ab78cc494 (intento=901390),1823968,0,5,500000
especulativo,22,1761447767547,1761447770729,3182,276,A,3181,true,00000ce6e4526404b256bcfe936e5fd554f02ae09de78b1fddc1e98ab78cc494 (intento=901390),1825689,0,5,500000
especulativo,18,1761447767547,1761447770732,3184,77,A,3184,true,00000ce6e4526404b256bcfe936e5fd554f02ae09de78b1fddc1e98ab78cc494 (intento=901390),1825470,0,5,500000
especulativo,27,1761447767547,1761447770734,3186,283,A,3186,true,00000ce6e4526404b256bcfe936e5fd554f02ae09de78b1fddc1e98ab78cc494 (intento=901390),1826436,0,5,500000
especulativo,1,1761447767547,1761447770735,3188,12,A,3187,true,00000ce6e4526404b256bcfe936e5fd554f02ae09de78b1fddc1e98ab78cc494 (intento=901390),1823829,0,5,500000
especulativo,20,1761447767548,1761447770737,3188,157,A,3183,true,00000ce6e4526404b256bcfe936e5fd554f02ae09de78b1fddc1e98ab78cc494 (intento=901390),1823148,0,5,500000
especulativo,30,1761447767547,1761447770739,3192,168,A,3191,true,00000ce6e4526404b256bcfe936e5fd554f02ae09de78b1fddc1e98ab78cc494 (intento=901390),1822848,0,5,500000
especulativo,24,1761447767547,1761447770743,3196,81,A,3195,true,00000ce6e4526404b256bcfe936e5fd554f02ae09de78b1fddc1e98ab78cc494 (intento=901390),1811727,0,5,500000
